element,position,multiplier,is_captain,is_vice_captain,first_name,second_name,web_name,team,team_name,team_id,team_owner,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,in_dreamteam,name,color
411,1,1,FALSE,FALSE,Rui Pedro,dos Santos Patrício,Patrício,20,Schär the load,2459277,Matt Reed,90,0,0,1,0,0,0,0,0,0,5,2,29,38.6,0.0,0.0,3.9,9,FALSE,Wolves,#fdb913
42,2,1,FALSE,FALSE,Lewis,Dunk,Dunk,4,Schär the load,2459277,Matt Reed,90,0,0,0,2,0,0,0,0,0,0,0,12,8.8,0.3,0.0,0.9,1,FALSE,Brighton,#005daa
123,3,1,FALSE,FALSE,Patrick,van Aanholt,van Aanholt,7,Schär the load,2459277,Matt Reed,90,0,0,1,0,0,0,0,0,0,0,0,24,8.6,18.7,4.0,3.1,6,FALSE,Crystal Palace,#0a4af5
445,4,1,FALSE,FALSE,Tyrone,Mings,Mings,2,Schär the load,2459277,Matt Reed,90,0,0,0,2,0,0,0,0,0,0,0,16,26.6,0.3,0.0,2.7,1,FALSE,Aston Villa,#670E36
31,5,1,FALSE,FALSE,John,McGinn,McGinn,2,Schär the load,2459277,Matt Reed,90,1,0,0,2,0,0,0,0,0,0,1,25,43.2,23.8,36.0,10.3,8,FALSE,Aston Villa,#670E36
215,6,1,FALSE,TRUE,Kevin,De Bruyne,De Bruyne,11,Schär the load,2459277,Matt Reed,79,0,2,0,1,0,0,0,0,0,0,1,30,23.2,33.6,18.0,7.5,9,FALSE,Man City,#97c1e7
191,7,1,FALSE,FALSE,Mohamed,Salah,Salah,10,Schär the load,2459277,Matt Reed,90,0,0,1,0,0,0,0,0,0,0,0,2,7.6,13.3,68.0,8.9,3,FALSE,Liverpool,#dd0000
463,8,1,FALSE,FALSE,Mason,Mount,Mount,6,Schär the load,2459277,Matt Reed,90,0,1,1,0,0,0,0,0,0,0,0,24,8.6,27.6,8.0,4.4,6,FALSE,Chelsea,#034694
460,9,1,FALSE,FALSE,Tammy,Abraham,Abraham,6,Schär the load,2459277,Matt Reed,83,0,0,1,0,0,0,0,0,0,0,0,-2,13.2,28.3,77.0,11.9,2,FALSE,Chelsea,#034694
11,10,2,TRUE,FALSE,Pierre-Emerick,Aubameyang,Aubameyang,1,Schär the load,2459277,Matt Reed,90,1,0,0,1,0,0,0,0,0,0,3,33,42.2,25.7,19.0,8.7,9,FALSE,Arsenal,#ef0107
