element,position,multiplier,is_captain,is_vice_captain,first_name,second_name,web_name,team,team_name,team_id,team_owner,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,in_dreamteam,name,color
93,1,1,FALSE,FALSE,Nick,Pope,Pope,5,Schär the load,2459277,Matt Reed,90,0,0,1,0,0,0,0,0,0,2,1,25,14.4,0.0,0.0,1.4,7,FALSE,Burnley,#80bfff
141,2,1,FALSE,FALSE,Lucas,Digne,Digne,8,Schär the load,2459277,Matt Reed,90,0,0,0,1,0,0,0,0,0,0,0,14,9.4,26.8,2.0,3.8,2,FALSE,Everton,#0d00e9
529,3,1,FALSE,FALSE,Fikayo,Tomori,Tomori,6,Schär the load,2459277,Matt Reed,90,0,0,0,1,0,0,0,0,0,0,0,8,11.8,0.8,0.0,1.3,2,FALSE,Chelsea,#034694
297,4,1,FALSE,FALSE,John,Lundstram,Lundstram,15,Schär the load,2459277,Matt Reed,90,0,0,1,0,0,0,0,1,0,0,0,20,11.0,27.5,6.0,4.5,5,FALSE,Sheffield Utd,red
287,5,1,FALSE,FALSE,Todd,Cantwell,Cantwell,14,Schär the load,2459277,Matt Reed,79,0,0,0,4,0,0,0,0,0,0,0,15,21.0,37.3,49.0,10.7,2,FALSE,Norwich,#00a650
191,6,1,FALSE,FALSE,Mohamed,Salah,Salah,10,Schär the load,2459277,Matt Reed,90,0,0,0,1,0,0,0,0,0,0,0,5,18.2,37.7,94.0,15.0,2,FALSE,Liverpool,#dd0000
463,7,1,FALSE,FALSE,Mason,Mount,Mount,6,Schär the load,2459277,Matt Reed,79,1,0,0,1,0,0,0,0,0,0,0,25,36.0,23.4,26.0,8.5,7,FALSE,Chelsea,#034694
31,8,1,FALSE,FALSE,John,McGinn,McGinn,2,Schär the load,2459277,Matt Reed,90,0,0,0,1,0,0,0,1,0,0,0,16,12.0,18.2,10.0,4.0,1,FALSE,Aston Villa,#670E36
11,9,2,TRUE,FALSE,Pierre-Emerick,Aubameyang,Aubameyang,1,Schär the load,2459277,Matt Reed,90,0,0,1,0,0,0,0,0,0,0,0,0,1.0,12.8,47.0,6.1,2,FALSE,Arsenal,#ef0107
278,10,1,FALSE,FALSE,Teemu,Pukki,Pukki,14,Schär the load,2459277,Matt Reed,83,0,0,0,5,0,0,0,1,0,0,0,3,2.4,31.1,70.0,10.4,1,FALSE,Norwich,#00a650
460,11,1,FALSE,FALSE,Tammy,Abraham,Abraham,6,Schär the load,2459277,Matt Reed,83,1,0,0,1,0,0,0,0,0,0,2,28,40.2,10.3,35.0,8.6,8,FALSE,Chelsea,#034694
