element,position,multiplier,is_captain,is_vice_captain,first_name,second_name,web_name,team,team_name,team_id,team_owner,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,in_dreamteam,name,color
411,1,1,FALSE,FALSE,Rui Pedro,dos Santos Patrício,Patrício,20,Schär the load,2459277,Matt Reed,90,0,0,0,1,0,0,0,0,0,4,0,16,31.2,0.0,0.0,3.1,3,FALSE,Wolves,#fdb913
42,2,1,FALSE,FALSE,Lewis,Dunk,Dunk,4,Schär the load,2459277,Matt Reed,90,0,0,0,2,0,0,0,0,0,0,0,15,16.4,10.7,2.0,2.9,1,FALSE,Brighton,#005daa
529,3,1,FALSE,FALSE,Fikayo,Tomori,Tomori,6,Schär the load,2459277,Matt Reed,90,0,0,1,0,0,0,0,1,0,0,0,24,19.4,1.8,6.0,2.7,5,FALSE,Chelsea,#034694
297,4,1,FALSE,FALSE,John,Lundstram,Lundstram,15,Schär the load,2459277,Matt Reed,90,0,0,1,0,0,0,0,0,0,0,0,20,9.2,13.4,2.0,2.5,6,FALSE,Sheffield Utd,red
252,5,1,FALSE,FALSE,Fabian,Schär,Schär,13,Schär the load,2459277,Matt Reed,90,0,0,0,1,0,0,0,0,0,0,0,10,23.8,4.4,0.0,2.8,2,FALSE,Newcastle,#000000
215,6,1,FALSE,FALSE,Kevin,De Bruyne,De Bruyne,11,Schär the load,2459277,Matt Reed,90,0,0,1,0,0,0,0,0,0,0,0,8,10.0,34.8,19.0,6.4,3,FALSE,Man City,#97c1e7
463,7,1,FALSE,TRUE,Mason,Mount,Mount,6,Schär the load,2459277,Matt Reed,63,0,0,1,0,0,0,0,0,0,0,0,4,5.2,19.4,19.0,4.4,3,FALSE,Chelsea,#034694
31,8,1,FALSE,FALSE,John,McGinn,McGinn,2,Schär the load,2459277,Matt Reed,90,0,0,0,1,0,0,0,0,0,0,0,13,18.0,37.8,69.0,12.5,2,FALSE,Aston Villa,#670E36
11,9,1,FALSE,FALSE,Pierre-Emerick,Aubameyang,Aubameyang,1,Schär the load,2459277,Matt Reed,90,0,0,0,1,0,0,0,0,0,0,0,7,3.6,4.7,8.0,1.6,2,FALSE,Arsenal,#ef0107
166,10,1,FALSE,FALSE,Jamie,Vardy,Vardy,9,Schär the load,2459277,Matt Reed,90,1,0,0,1,0,0,0,0,0,0,2,30,34.2,16.5,21.0,7.2,8,FALSE,Leicester,#0053a0
460,11,2,TRUE,FALSE,Tammy,Abraham,Abraham,6,Schär the load,2459277,Matt Reed,90,0,0,1,0,0,0,0,0,0,0,0,0,7.2,2.6,63.0,7.3,2,FALSE,Chelsea,#034694
93,12,0,FALSE,FALSE,Nick,Pope,Pope,5,Schär the load,2459277,Matt Reed,90,0,0,0,2,0,0,0,0,0,1,0,8,6.0,0.0,0.0,0.6,1,FALSE,Burnley,#80bfff
191,13,0,FALSE,FALSE,Mohamed,Salah,Salah,10,Schär the load,2459277,Matt Reed,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Liverpool,#dd0000
287,14,0,FALSE,FALSE,Todd,Cantwell,Cantwell,14,Schär the load,2459277,Matt Reed,80,0,0,1,0,0,0,0,0,0,0,0,7,5.6,13.8,6.0,2.5,3,FALSE,Norwich,#00a650
123,15,0,FALSE,FALSE,Patrick,van Aanholt,van Aanholt,7,Schär the load,2459277,Matt Reed,90,0,0,0,2,0,0,0,0,0,0,0,19,14.8,17.1,18.0,5.0,1,FALSE,Crystal Palace,#0a4af5
93,1,1,FALSE,FALSE,Nick,Pope,Pope,5,Hanging By a Fred,3091202,Viet Nguyen,90,0,0,0,2,0,0,0,0,0,1,0,8,6.0,0.0,0.0,0.6,1,FALSE,Burnley,#80bfff
183,2,1,FALSE,FALSE,Virgil,van Dijk,van Dijk,10,Hanging By a Fred,3091202,Viet Nguyen,90,0,0,0,1,0,0,0,0,0,0,0,13,16.4,1.3,0.0,1.8,2,FALSE,Liverpool,#dd0000
141,3,1,FALSE,FALSE,Lucas,Digne,Digne,8,Hanging By a Fred,3091202,Viet Nguyen,90,0,0,1,0,0,0,0,0,0,0,0,24,17.0,49.6,3.0,7.0,6,FALSE,Everton,#0d00e9
