element,position,multiplier,is_captain,is_vice_captain,first_name,second_name,web_name,team,team_name,team_id,team_owner,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,in_dreamteam,name,color
411,1,1,FALSE,FALSE,Rui Pedro,dos Santos Patrício,Patrício,20,Schär the load,2459277,Matt Reed,90,0,0,0,1,0,0,0,0,0,4,0,17,34.8,0.0,0.0,3.5,3,FALSE,Wolves,#fdb913
123,2,1,FALSE,FALSE,Patrick,van Aanholt,van Aanholt,7,Schär the load,2459277,Matt Reed,90,0,0,0,1,0,0,0,0,0,0,0,10,11.2,3.2,12.0,2.6,2,FALSE,Crystal Palace,#0a4af5
42,3,1,FALSE,FALSE,Lewis,Dunk,Dunk,4,Schär the load,2459277,Matt Reed,90,0,0,1,0,0,0,0,1,0,0,1,26,21.0,0.6,36.0,5.8,6,FALSE,Brighton,#005daa
141,4,1,FALSE,FALSE,Lucas,Digne,Digne,8,Schär the load,2459277,Matt Reed,90,0,0,0,2,0,0,0,0,0,0,0,12,13.6,19.3,25.0,5.8,1,FALSE,Everton,#0d00e9
215,5,1,FALSE,FALSE,Kevin,De Bruyne,De Bruyne,11,Schär the load,2459277,Matt Reed,90,1,2,1,0,0,0,0,0,0,0,3,66,88.4,109.4,40.0,23.8,17,TRUE,Man City,#97c1e7
191,6,1,FALSE,TRUE,Mohamed,Salah,Salah,10,Schär the load,2459277,Matt Reed,90,0,1,0,1,0,0,0,0,0,0,0,11,14.8,15.3,36.0,6.6,5,FALSE,Liverpool,#dd0000
287,7,1,FALSE,FALSE,Todd,Cantwell,Cantwell,14,Schär the load,2459277,Matt Reed,89,0,0,0,2,0,0,0,0,0,0,0,14,8.2,15.5,28.0,5.2,2,FALSE,Norwich,#00a650
31,8,1,FALSE,FALSE,John,McGinn,McGinn,2,Schär the load,2459277,Matt Reed,90,1,0,0,3,0,0,0,0,0,0,3,32,50.8,12.0,55.0,11.8,10,FALSE,Aston Villa,#670E36
11,9,2,TRUE,FALSE,Pierre-Emerick,Aubameyang,Aubameyang,1,Schär the load,2459277,Matt Reed,90,1,0,0,2,0,0,0,1,0,0,0,26,34.6,1.6,59.0,9.5,5,FALSE,Arsenal,#ef0107
278,10,1,FALSE,FALSE,Teemu,Pukki,Pukki,14,Schär the load,2459277,Matt Reed,90,0,0,0,2,0,0,0,0,0,0,0,2,4.0,2.4,44.0,5.0,2,FALSE,Norwich,#00a650
460,11,1,FALSE,FALSE,Tammy,Abraham,Abraham,6,Schär the load,2459277,Matt Reed,76,0,0,0,2,0,0,0,0,0,0,0,-5,1.4,0.8,25.0,2.7,2,FALSE,Chelsea,#034694
93,12,0,FALSE,FALSE,Nick,Pope,Pope,5,Schär the load,2459277,Matt Reed,90,0,0,1,0,0,0,0,0,0,2,0,24,15.0,0.0,0.0,1.5,6,FALSE,Burnley,#80bfff
391,13,0,FALSE,FALSE,Manuel,Lanzini,Lanzini,19,Schär the load,2459277,Matt Reed,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,West Ham,#7f0000
297,14,0,FALSE,FALSE,John,Lundstram,Lundstram,15,Schär the load,2459277,Matt Reed,90,0,1,1,0,0,0,0,0,0,0,3,33,35.6,15.4,0.0,5.1,12,TRUE,Sheffield Utd,red
445,15,0,FALSE,FALSE,Tyrone,Mings,Mings,2,Schär the load,2459277,Matt Reed,90,0,0,0,3,0,0,0,0,0,0,0,11,17.6,0.3,4.0,2.2,1,FALSE,Aston Villa,#670E36
93,1,1,FALSE,FALSE,Nick,Pope,Pope,5,Hanging By a Fred,3091202,Viet Nguyen,90,0,0,1,0,0,0,0,0,0,2,0,24,15.0,0.0,0.0,1.5,6,FALSE,Burnley,#80bfff
183,2,1,FALSE,FALSE,Virgil,van Dijk,van Dijk,10,Hanging By a Fred,3091202,Viet Nguyen,90,0,0,0,1,0,0,0,0,0,0,0,13,14.2,0.5,0.0,1.5,2,FALSE,Liverpool,#dd0000
141,3,1,FALSE,FALSE,Lucas,Digne,Digne,8,Hanging By a Fred,3091202,Viet Nguyen,90,0,0,0,2,0,0,0,0,0,0,0,12,13.6,19.3,25.0,5.8,1,FALSE,Everton,#0d00e9
123,4,1,FALSE,FALSE,Patrick,van Aanholt,van Aanholt,7,Hanging By a Fred,3091202,Viet Nguyen,90,0,0,0,1,0,0,0,0,0,0,0,10,11.2,3.2,12.0,2.6,2,FALSE,Crystal Palace,#0a4af5
42,5,1,FALSE,FALSE,Lewis,Dunk,Dunk,4,Hanging By a Fred,3091202,Viet Nguyen,90,0,0,1,0,0,0,0,1,0,0,1,26,21.0,0.6,36.0,5.8,6,FALSE,Brighton,#005daa
469,6,1,FALSE,FALSE,Daniel,Ceballos Fernández,Ceballos,1,Hanging By a Fred,3091202,Viet Nguyen,71,0,0,0,2,0,0,0,0,0,0,0,10,10.4,15.8,4.0,3.0,2,FALSE,Arsenal,#ef0107
