element,position,multiplier,is_captain,is_vice_captain,first_name,second_name,web_name,team,team_name,team_id,team_owner,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,in_dreamteam,name,color
47,1,1,FALSE,FALSE,Mathew,Ryan,Ryan,4,Shawly now!,1546688,Michael Gomes Vieira,90,0,0,1,0,0,0,0,0,0,3,0,30,20.2,0.0,0.0,2.0,7,FALSE,Brighton,#005daa
181,2,1,FALSE,FALSE,Andrew,Robertson,Robertson,10,Shawly now!,1546688,Michael Gomes Vieira,90,0,0,0,1,0,0,0,0,0,0,0,20,19.0,16.9,21.0,5.7,2,FALSE,Liverpool,#dd0000
182,3,1,FALSE,FALSE,Trent,Alexander-Arnold,Alexander-Arnold,10,Shawly now!,1546688,Michael Gomes Vieira,90,0,0,0,1,0,0,0,0,0,0,1,27,34.2,69.1,8.0,11.1,3,FALSE,Liverpool,#dd0000
208,4,1,FALSE,FALSE,Nicolás,Otamendi,Otamendi,11,Shawly now!,1546688,Michael Gomes Vieira,90,0,0,0,2,0,0,0,0,0,0,0,15,16.0,1.4,8.0,2.5,1,FALSE,Man City,#97c1e7
297,5,1,FALSE,FALSE,John,Lundstram,Lundstram,15,Shawly now!,1546688,Michael Gomes Vieira,90,0,0,1,0,0,0,0,1,0,0,0,20,11.0,27.5,6.0,4.5,5,FALSE,Sheffield Utd,red
214,6,2,TRUE,FALSE,Raheem,Sterling,Sterling,11,Shawly now!,1546688,Michael Gomes Vieira,90,0,0,0,2,0,0,0,0,0,0,0,11,12.0,18.1,49.0,7.9,2,FALSE,Man City,#97c1e7
31,7,1,FALSE,FALSE,John,McGinn,McGinn,2,Shawly now!,1546688,Michael Gomes Vieira,90,0,0,0,1,0,0,0,1,0,0,0,16,12.0,18.2,10.0,4.0,1,FALSE,Aston Villa,#670E36
191,8,1,FALSE,FALSE,Mohamed,Salah,Salah,10,Shawly now!,1546688,Michael Gomes Vieira,90,0,0,0,1,0,0,0,0,0,0,0,5,18.2,37.7,94.0,15.0,2,FALSE,Liverpool,#dd0000
390,9,1,FALSE,FALSE,Felipe Anderson,Pereira Gomes,Felipe Anderson,19,Shawly now!,1546688,Michael Gomes Vieira,90,0,0,0,2,0,0,0,0,0,0,0,10,21.6,16.4,23.0,6.1,2,FALSE,West Ham,#7f0000
234,10,1,FALSE,FALSE,Mason,Greenwood,Greenwood,12,Shawly now!,1546688,Michael Gomes Vieira,24,0,0,0,1,0,0,0,0,0,0,0,3,3.2,1.7,17.0,2.2,1,FALSE,Man Utd,#e80909
278,11,1,FALSE,TRUE,Teemu,Pukki,Pukki,14,Shawly now!,1546688,Michael Gomes Vieira,83,0,0,0,5,0,0,0,1,0,0,0,3,2.4,31.1,70.0,10.4,1,FALSE,Norwich,#00a650
