element,position,multiplier,is_captain,is_vice_captain,first_name,second_name,web_name,team,team_name,team_id,team_owner,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,in_dreamteam,name,color
148,1,1,FALSE,FALSE,Jordan,Pickford,Pickford,8,Real Sosobad,2373199,Chris Adamson,90,0,0,0,3,0,0,0,0,0,3,0,14,21.0,0.0,0.0,2.1,2,FALSE,Everton,#0d00e9
182,2,1,FALSE,FALSE,Trent,Alexander-Arnold,Alexander-Arnold,10,Real Sosobad,2373199,Chris Adamson,90,0,0,0,1,0,0,0,0,0,0,0,19,34.4,102.6,36.0,17.3,2,FALSE,Liverpool,#dd0000
59,3,1,FALSE,FALSE,Nathan,Aké,Aké,3,Real Sosobad,2373199,Chris Adamson,90,0,0,0,1,0,0,0,0,0,0,0,18,27.0,0.1,6.0,3.3,2,FALSE,Bournemouth,#ed1c24
42,4,1,FALSE,FALSE,Lewis,Dunk,Dunk,4,Real Sosobad,2373199,Chris Adamson,90,0,0,0,1,0,0,0,0,0,0,0,12,16.6,0.9,2.0,2.0,2,FALSE,Brighton,#005daa
191,5,2,TRUE,FALSE,Mohamed,Salah,Salah,10,Real Sosobad,2373199,Chris Adamson,90,1,0,0,1,0,0,0,0,0,0,2,34,44.6,41.8,73.0,15.9,9,FALSE,Liverpool,#dd0000
463,6,1,FALSE,FALSE,Mason,Mount,Mount,6,Real Sosobad,2373199,Chris Adamson,90,1,0,0,2,0,0,0,0,0,0,2,33,49.8,44.8,29.0,12.4,9,FALSE,Chelsea,#034694
214,7,1,FALSE,TRUE,Raheem,Sterling,Sterling,11,Real Sosobad,2373199,Chris Adamson,90,0,0,0,3,0,0,0,0,0,0,0,19,20.4,57.8,95.0,17.3,2,FALSE,Man City,#97c1e7
218,8,1,FALSE,FALSE,Bernardo Mota,Veiga de Carvalho e Silva,Bernardo Silva,11,Real Sosobad,2373199,Chris Adamson,72,0,1,0,3,0,0,0,1,0,0,0,31,33.2,33.2,30.0,9.6,4,FALSE,Man City,#97c1e7
409,9,1,FALSE,FALSE,Raúl,Jiménez,Jiménez,20,Real Sosobad,2373199,Chris Adamson,69,0,0,0,4,0,0,0,0,0,0,0,2,0.0,5.3,13.0,1.8,2,FALSE,Wolves,#fdb913
278,10,1,FALSE,FALSE,Teemu,Pukki,Pukki,14,Real Sosobad,2373199,Chris Adamson,90,1,1,0,2,0,0,0,0,0,0,3,39,46.2,10.8,33.0,9.0,12,FALSE,Norwich,#00a650
460,11,1,FALSE,FALSE,Tammy,Abraham,Abraham,6,Real Sosobad,2373199,Chris Adamson,76,3,0,0,1,1,0,0,1,0,0,3,68,95.8,1.9,57.0,15.5,14,TRUE,Chelsea,#034694
47,12,0,FALSE,FALSE,Mathew,Ryan,Ryan,4,Real Sosobad,2373199,Chris Adamson,90,0,0,0,1,0,0,0,0,0,0,0,8,2.8,0.0,0.0,0.3,2,FALSE,Brighton,#005daa
271,13,0,FALSE,FALSE,Isaac,Hayden,Hayden,13,Real Sosobad,2373199,Chris Adamson,90,0,0,0,3,0,0,0,0,0,0,0,10,21.2,0.3,8.0,3.0,2,FALSE,Newcastle,#000000
